ZIP,CITY,SUBDIVISION
04770,"Adra",ES-AL
04777,"Adra",ES-AL
04778,"Adra",ES-AL
04779,"Adra",ES-AL
04857,"Albánchez",ES-AL
04858,"Albánchez",ES-AL
04531,"Alboloduy",ES-AL
04558,"Alboloduy",ES-AL
04600,"Albox",ES-AL
04692,"Albox",ES-AL
04800,"Albox",ES-AL
04812,"Albox",ES-AL
04813,"Albox",ES-AL
04814,"Albox",ES-AL
04480,"Alcolea",ES-AL
04768,"Alcolea",ES-AL
04897,"Alcóntar",ES-AL
04898,"Alcóntar",ES-AL
04276,"Alcudia de Monteagud",ES-AL
04567,"Alhabia",ES-AL
04400,"Alhama de Almería",ES-AL
04409,"Alicún",ES-AL
04001,"Almería",ES-AL
04002,"Almería",ES-AL
04003,"Almería",ES-AL
04004,"Almería",ES-AL
04005,"Almería",ES-AL
04006,"Almería",ES-AL
04007,"Almería",ES-AL
04008,"Almería",ES-AL
04009,"Almería",ES-AL
04070,"Almería",ES-AL
04071,"Almería",ES-AL
04120,"Almería",ES-AL
04121,"Almería",ES-AL
04130,"Almería",ES-AL
04131,"Almería",ES-AL
04150,"Almería",ES-AL
04160,"Almería",ES-AL
04458,"Almócita",ES-AL
04568,"Alsodux",ES-AL
04729,"Alsodux",ES-AL
04628,"Antas",ES-AL
04629,"Antas",ES-AL
04660,"Arboleas",ES-AL
04661,"Arboleas",ES-AL
04663,"Arboleas",ES-AL
04888,"Armuña de Almanzora",ES-AL
04889,"Bacares",ES-AL
04479,"Bayárcal",ES-AL
04288,"Bédar",ES-AL
04289,"Bédar",ES-AL
04410,"Benahadux",ES-AL
04274,"Benizalón",ES-AL
04569,"Bentarique",ES-AL
04713,"Berja",ES-AL
04760,"Berja",ES-AL
04764,"Berja",ES-AL
04769,"Berja",ES-AL
04450,"Canjáyar",ES-AL
04550,"Canjáyar",ES-AL
04815,"Cantoria",ES-AL
04850,"Cantoria",ES-AL
04140,"Carboneras",ES-AL
04149,"Carboneras",ES-AL
04212,"Castro de Filabres",ES-AL
04610,"Cuevas del Almanzora",ES-AL
04618,"Cuevas del Almanzora",ES-AL
04619,"Cuevas del Almanzora",ES-AL
04647,"Cuevas del Almanillajoyosa/vzora",ES-AL
04648,"Cuevas del Almanzora",ES-AL
04859,"Chercos",ES-AL
04825,"Chirivel",ES-AL
04750,"Dalías",ES-AL
04759,"Dalías",ES-AL
04728,"Felix",ES-AL
04739,"Felix",ES-AL
04869,"Fines",ES-AL
04500,"Fiñana",ES-AL
04460,"Fondón",ES-AL
04151,"Gádor",ES-AL
04560,"Gádor",ES-AL
04280,"Gallardos, los",ES-AL
04630,"Garrucha",ES-AL
04549,"Gérgalillajoyosa/v",ES-AL
04559,"Gérgal",ES-AL
04230,"Huércal de Almería",ES-AL
04662,"Huércal-overa",ES-AL
04690,"Huércal-overa",ES-AL
04691,"Huércal-overa",ES-AL
04693,"Huércal-overa",ES-AL
04694,"Huércal-overa",ES-AL
04964,"Huércal-overa",ES-AL
04431,"Illar",ES-AL
04430,"Instinción",ES-AL
04868,"Laroya",ES-AL
04470,"Láujar de Andarax",ES-AL
04271,"Lubrín",ES-AL
04114,"Lucainena de las Torres",ES-AL
04210,"Lucainena de las Torres",ES-AL
04211,"Lucainena de las Torres",ES-AL
04877,"Lúcar",ES-AL
04887,"Lúcar",ES-AL
04867,"Macael",ES-AL
04830,"María",ES-AL
04838,"María",ES-AL
04839,"María",ES-AL
04638,"Mojácar",ES-AL
04639,"Mojácar",ES-AL
04540,"Nacimiento",ES-AL
04100,"Níjar",ES-AL
04110,"Níjar",ES-AL
04113,"Níjar",ES-AL
04115,"Níjar",ES-AL
04116,"Níjar",ES-AL
04117,"Níjar",ES-AL
04118,"Níjar",ES-AL
04119,"Níjar",ES-AL
04147,"Níjar",ES-AL
04188,"Níjar",ES-AL
04459,"Ohanes",ES-AL
04860,"Olula del Río",ES-AL
04640,"Oria",ES-AL
04810,"Oria",ES-AL
04811,"Oria",ES-AL
04899,"Oria",ES-AL
04250,"Pechina",ES-AL
04259,"Pechina",ES-AL
04649,"Pulpí",ES-AL
04870,"Purchena",ES-AL
04440,"Rágol",ES-AL
04260,"Rioja",ES-AL
04080,"Roquetas de Mar",ES-AL
04720,"Roquetas de Mar",ES-AL
04721,"Roquetas de Mar",ES-AL
04740,"Roquetas de Mar",ES-AL
04743,"Roquetas de Mar",ES-AL
04420,"Santa Fe de Mondújar",ES-AL
04213,"Senés",ES-AL
04890,"Serón",ES-AL
04878,"Sierro",ES-AL
04270,"Sorbas",ES-AL
04277,"Sorbas",ES-AL
04278,"Sorbas",ES-AL
04279,"Sorbas",ES-AL
04200,"Tabernas",ES-AL
04275,"Tahal",ES-AL
04880,"Tíjola",ES-AL
04369,"Turre",ES-AL
04879,"Urrácal",ES-AL
04820,"Vélez-blanco",ES-AL
04829,"Vélez-blanco",ES-AL
04826,"Vélez-rubio",ES-AL
04827,"Vélez-rubio",ES-AL
04828,"Vélez-rubio",ES-AL
04620,"Vera",ES-AL
04621,"Vera",ES-AL
04240,"Viator",ES-AL
04724,"Vícar",ES-AL
04738,"Vícar",ES-AL
04741,"Vícar",ES-AL
04650,"Zurgena",ES-AL
04530,"Tres Villas, las",ES-AL
04532,"Tres Villas, las",ES-AL
04700,"Ejido, el",ES-AL
04710,"Ejido, el",ES-AL
04711,"Ejido, el",ES-AL
04712,"Ejido, el",ES-AL
04715,"Ejido, el",ES-AL
04716,"Ejido, el",ES-AL
04745,"Mojonera, la",ES-AL
04746,"Mojonera, la",ES-AL
05296,"Adanero",ES-AV
05430,"Adrada, la",ES-AV
05358,"Albornos",ES-AV
05580,"Aldeanueva de Santa Cruz",ES-AV
05212,"Aldeaseca",ES-AV
05593,"Aldehuela, la",ES-AV
05560,"Amavida",ES-AV
05416,"Arenal, el",ES-AV
05400,"Arenas de San Pedro",ES-AV
05418,"Arenas de San Pedro",ES-AV
05153,"Arevalillo",ES-AV
05100,"Arévaloillajoyosa/v",ES-AV
05200,"Arévalo",ES-AV
05340,"Aveinte",ES-AV
05357,"Aveinte",ES-AV
05001,"Ávila",ES-AV
05002,"Ávila",ES-AV
05003,"Ávila",ES-AV
05004,"Ávila",ES-AV
05005,"Ávila",ES-AV
05070,"Ávila",ES-AV
05071,"Ávila",ES-AV
05080,"Ávila",ES-AV
05160,"Ávila",ES-AV
05194,"Ávila",ES-AV
05195,"Ávila",ES-AV
05197,"Ávila",ES-AV
